Date,Time,Day_of_Week,Barangay,Latitude,Longitude,Weather,Property_Type,Fire_Cause,Fire_Severity,Casualty_Count,Response_Time,Fire_Duration
11/05/2023,16:35,Thursday,Santiago 1 (Bulaho),14.07637171,121.3140019,Sunny,Residential,Arson,Low,0,8,61
23/07/2022,17:55,Saturday,VII-E,14.06916032,121.3211726,Rainy,Residential,Cooking,High,6,12,45
03/01/2021,21:58,Sunday,San Vicente,14.06856014,121.3183147,Rainy,Industrial,Arson,High,4,7,253
05/05/2020,10:05,Tuesday,VI-A (Mavenida),14.07544189,121.3231501,Sunny,Residential,Cooking,Low,3,7,10
29/09/2020,9:20,Tuesday,VI-D (Lparkers),14.06249815,121.3134024,Sunny,Commercial,Other,Low,1,11,10
13/06/2023,13:40,Tuesday,V-C,14.06265806,121.3185419,Sunny,Residential,Electrical,Medium,1,10,10
29/06/2020,19:57,Monday,V-A,14.0742004,121.3201096,Rainy,Commercial,Electrical,Medium,2,12,60
15/12/2021,8:09,Wednesday,VI-D (Lparkers),14.07595426,121.3219787,Cloudy,Commercial,Electrical,Low,1,11,10
12/11/2024,13:35,Tuesday,Soledad (Macopa),14.07794101,121.3230957,Sunny,Industrial,Arson,Medium,1,12,57
15/05/2021,7:53,Saturday,San Ignacio,14.06201664,121.3218097,Cloudy,Commercial,Cooking,Low,0,17,56
07/01/2023,1:13,Saturday,Santa Elena,14.07092924,121.3264435,Sunny,Residential,Arson,Medium,1,7,127
16/09/2022,12:13,Friday,VII-E,14.06317083,121.3173001,Sunny,Residential,Electrical,Low,1,9,55
18/08/2021,17:24,Wednesday,VI-D (Lparkers),14.07037756,121.3224891,Sunny,Residential,Other,Medium,2,11,20
08/12/2024,8:00,Sunday,San Pedro,14.05799744,121.324496,Cloudy,Industrial,Arson,Medium,0,9,15
07/05/2020,6:04,Thursday,San Gregorio,14.07244296,121.3212812,Rainy,Commercial,Arson,Medium,3,10,186
09/12/2024,19:35,Monday,II-C (Unson),14.07160234,121.3204818,Sunny,Forest,Natural,Low,0,7,10
26/01/2024,21:50,Friday,San Marcos (Tikew),14.06731918,121.3144755,Sunny,Residential,Electrical,High,11,6,217
23/01/2020,15:42,Thursday,Santisimo Rosario (Balagbag),14.06730811,121.3190413,Sunny,Forest,Natural,High,0,12,403
21/10/2021,21:06,Thursday,Santo Niño (Arsum),14.06776952,121.315386,Sunny,Residential,Electrical,High,7,10,31
09/10/2023,14:36,Monday,Dolores,14.0736728,121.3117222,Stormy,Residential,Arson,Low,3,12,17
03/03/2022,15:25,Thursday,Santa Veronica (Bae),14.06923537,121.316791,Sunny,Forest,Natural,Low,0,10,10
16/11/2024,22:51,Saturday,Santa Filomena (Banagin),14.08272842,121.3230518,Sunny,Residential,Natural,Medium,3,10,10
29/08/2021,2:00,Sunday,Santa Cruz (Putol),14.06786523,121.3227661,Cloudy,Residential,Natural,Low,0,15,48
05/03/2022,12:48,Saturday,II-C (Unson),14.07795005,121.3208774,Sunny,Residential,Cooking,High,9,9,300
10/12/2023,7:36,Sunday,San Buenaventura (Palakpakin),14.07313131,121.3172247,Sunny,Commercial,Arson,Medium,4,12,16
25/06/2022,19:14,Saturday,Santa Veronica (Bae),14.05527148,121.317436,Sunny,Residential,Electrical,Low,2,9,97
20/09/2021,5:14,Monday,V-D,14.06988476,121.3118769,Sunny,Residential,Arson,Low,0,7,55
07/12/2020,9:49,Monday,San Gregorio,14.06866926,121.3250038,Cloudy,Residential,Electrical,High,10,10,277
02/01/2020,8:43,Thursday,Santo Niño (Arsum),14.07295619,121.3117376,Sunny,Residential,Cooking,High,13,8,296
06/04/2021,9:12,Tuesday,VII-E,14.07448495,121.3211383,Cloudy,Residential,Cooking,Low,0,8,44
03/12/2022,7:07,Saturday,San Gregorio,14.06725811,121.3260455,Sunny,Industrial,Cooking,Low,0,6,23
28/11/2020,22:59,Saturday,San Bartolome (Matang-ag),14.06631622,121.311594,Cloudy,Residential,Other,Medium,2,5,264
03/04/2020,18:31,Friday,Santiago 1 (Bulaho),14.06518668,121.3226799,Sunny,Residential,Electrical,Medium,2,9,41
01/07/2022,12:00,Friday,I-B (City+Riverside),14.07447946,121.3261134,Stormy,Residential,Other,High,7,10,16
08/02/2020,21:46,Saturday,I-B (City+Riverside),14.07010838,121.3236914,Sunny,Residential,Arson,Medium,5,12,85
23/08/2023,17:23,Wednesday,II-E (San Anton),14.07401852,121.3225347,Rainy,Forest,Natural,Medium,0,10,39
11/01/2024,12:08,Thursday,III-C (Labak/De Roma),14.07583785,121.3251233,Sunny,Residential,Electrical,Low,0,8,24
09/11/2020,19:58,Monday,VI-B,14.07023406,121.3271337,Rainy,Residential,Electrical,Medium,2,5,50
30/12/2023,8:26,Saturday,Santo Niño (Arsum),14.06918496,121.3131777,Rainy,Commercial,Other,Medium,2,16,36
11/08/2023,6:04,Friday,III-A (Hermanos Belen),14.07060364,121.317927,Sunny,Industrial,Natural,Medium,5,11,84
21/01/2024,8:15,Sunday,III-B,14.07119896,121.3196198,Sunny,Residential,Electrical,Medium,6,12,134
24/03/2023,18:39,Friday,Santa Veronica (Bae),14.06776666,121.3195361,Sunny,Residential,Arson,Low,1,6,10
23/09/2023,14:42,Saturday,Santa Maria,14.07661724,121.3194342,Sunny,Industrial,Electrical,High,9,7,11
14/10/2021,8:27,Thursday,VII-C,14.07184926,121.3194667,Cloudy,Residential,Natural,Low,0,11,32
17/07/2022,19:09,Sunday,Dolores,14.06978996,121.3189673,Rainy,Residential,Electrical,Medium,3,7,35
21/09/2024,9:22,Saturday,Soledad (Macopa),14.07489563,121.3274752,Sunny,Commercial,Cooking,Low,0,6,10
16/05/2020,3:30,Saturday,VII-A (P. Alcantara),14.07412334,121.3181243,Cloudy,Forest,Natural,High,0,8,11
09/11/2024,7:56,Saturday,Soledad (Macopa),14.07058502,121.3174434,Sunny,Industrial,Electrical,Low,0,10,82
21/10/2022,22:03,Friday,San Isidro (Balagbag),14.06490286,121.3208959,Sunny,Residential,Arson,Medium,2,7,11
28/05/2021,22:19,Friday,II-D (Bulante),14.06891225,121.3188095,Rainy,Residential,Cooking,Medium,4,8,10
14/07/2022,14:48,Thursday,VII-B,14.06391766,121.3145864,Cloudy,Residential,Electrical,High,6,9,188
17/11/2022,17:14,Thursday,Del Remedio (Wawa),14.05880921,121.3247006,Cloudy,Residential,Electrical,Low,1,9,48
19/04/2023,7:51,Wednesday,Santiago II (Bulaho),14.06708115,121.3113781,Sunny,Residential,Cooking,Medium,3,10,168
19/08/2021,19:42,Thursday,V-B,14.0641455,121.3195856,Sunny,Commercial,Electrical,Low,0,9,29
19/06/2021,22:17,Saturday,San Lucas 2 (Malinaw),14.06765265,121.3227481,Cloudy,Residential,Natural,High,4,8,10
07/05/2021,4:06,Friday,San Lucas 1 (Sabang),14.07033723,121.3220705,Sunny,Residential,Arson,Medium,2,14,48
21/07/2021,20:19,Wednesday,San Diego (Tilim),14.06476363,121.3177466,Sunny,Residential,Electrical,High,6,11,66
11/01/2023,1:55,Wednesday,San Buenaventura (Palakpakin),14.06184906,121.3186296,Sunny,Commercial,Natural,Medium,6,6,231
06/05/2022,19:36,Friday,II-E (San Anton),14.06655344,121.3238497,Rainy,Residential,Electrical,Medium,3,10,68
04/09/2020,10:03,Friday,San Nicolas (Mag-ampong),14.0632751,121.3201542,Sunny,Residential,Electrical,Medium,4,5,10
04/02/2024,8:53,Sunday,San Buenaventura (Palakpakin),14.06861378,121.3165152,Cloudy,Commercial,Natural,High,3,11,28
04/04/2023,17:24,Tuesday,VI-B,14.07041769,121.3152098,Rainy,Forest,Natural,Low,1,7,10
13/06/2021,17:53,Sunday,San Miguel (Balintin),14.070658,121.3158503,Sunny,Industrial,Other,High,3,10,58
09/02/2022,2:10,Wednesday,VII-A (P. Alcantara),14.06779357,121.319637,Cloudy,Residential,Natural,Medium,1,7,10
09/07/2020,15:43,Thursday,San Crispin (Lumbangan),14.07296252,121.3118683,Sunny,Commercial,Other,Medium,1,8,24
24/11/2021,20:17,Wednesday,San Francisco (Calihan),14.07977094,121.324258,Sunny,Forest,Natural,Low,0,8,97
06/06/2023,3:30,Tuesday,San Lucas 2 (Malinaw),14.0776743,121.3192357,Sunny,Commercial,Arson,Medium,2,7,143
23/10/2024,19:19,Wednesday,Dolores,14.07116229,121.3242144,Cloudy,Industrial,Electrical,Low,0,14,39
20/01/2022,20:56,Thursday,San Nicolas (Mag-ampong),14.07844496,121.3208349,Sunny,Commercial,Arson,Low,0,10,30
23/03/2021,3:30,Tuesday,San Rafael (Buluburan),14.06871483,121.318194,Cloudy,Residential,Arson,Low,0,9,26
20/02/2024,12:18,Tuesday,V-D,14.07452709,121.3138395,Cloudy,Residential,Electrical,Medium,3,12,35
09/12/2020,2:23,Wednesday,San Lucas 1 (Sabang),14.07642507,121.3138087,Sunny,Residential,Electrical,Medium,3,13,27
20/12/2020,1:43,Sunday,San Antonio 1 (Balanga),14.06499985,121.3175385,Sunny,Residential,Electrical,Low,0,9,12
23/03/2022,20:30,Wednesday,San Lorenzo (Saluyan),14.07459676,121.3180984,Rainy,Commercial,Other,Low,1,5,39
20/09/2021,20:01,Monday,Santiago II (Bulaho),14.07387346,121.3277535,Sunny,Residential,Cooking,High,5,14,57
05/12/2022,19:04,Monday,V-B,14.0676838,121.3216193,Sunny,Industrial,Other,Medium,0,11,104
16/12/2020,22:23,Wednesday,II-B (Guadalupe 1),14.06835225,121.3170992,Sunny,Residential,Other,High,9,10,15
10/11/2022,19:22,Thursday,Santa Maria Magdalena (Boe / Kuba),14.07232888,121.3194098,Stormy,Commercial,Cooking,Low,0,7,18
13/12/2024,9:42,Friday,IV-C,14.0707997,121.3187887,Cloudy,Commercial,Natural,Low,4,11,21
09/10/2021,13:45,Saturday,San Gregorio,14.0701709,121.3170575,Rainy,Commercial,Natural,Medium,3,12,10
02/08/2022,9:09,Tuesday,I-A (Sambat),14.0817569,121.3263512,Rainy,Residential,Arson,Medium,0,11,63
08/05/2021,7:04,Saturday,San Cristobal,14.07835939,121.3151502,Cloudy,Commercial,Arson,Low,0,14,10
24/12/2023,2:39,Sunday,Santa Isabel,14.06354632,121.3198391,Cloudy,Residential,Natural,High,3,11,72
25/12/2021,13:49,Saturday,San Bartolome (Matang-ag),14.07698439,121.3192066,Sunny,Residential,Cooking,Medium,2,10,98
16/06/2021,20:13,Wednesday,Santo Angel (Ilog),14.06530698,121.3206547,Sunny,Industrial,Electrical,Low,0,9,10
08/02/2020,6:30,Saturday,Santa Monica,14.07226733,121.31806,Sunny,Industrial,Electrical,Medium,0,6,130
13/11/2024,11:29,Wednesday,San Jose (Malamig),14.06687791,121.3207685,Sunny,Residential,Electrical,Medium,4,10,60
04/02/2023,18:34,Saturday,III-A (Hermanos Belen),14.06515461,121.3191371,Cloudy,Residential,Electrical,Medium,5,14,52
28/03/2023,21:59,Tuesday,Santo Cristo,14.07478288,121.3199069,Rainy,Residential,Electrical,Low,2,12,30
21/05/2022,8:14,Saturday,Atisan,14.07001937,121.3211364,Cloudy,Residential,Cooking,Medium,4,8,133
29/05/2022,14:48,Sunday,Santa Elena,14.07303176,121.3171711,Sunny,Residential,Arson,Low,2,7,91
19/04/2021,12:17,Monday,San Miguel (Balintin),14.064384,121.3197406,Cloudy,Residential,Electrical,Medium,5,16,10
11/01/2021,22:42,Monday,San Francisco (Calihan),14.07720526,121.3201032,Rainy,Commercial,Cooking,High,12,11,99
03/06/2022,11:40,Friday,Santo Niño (Arsum),14.06885413,121.318521,Sunny,Residential,Cooking,Medium,1,14,10
28/12/2020,10:27,Monday,San Nicolas (Mag-ampong),14.06070547,121.3272294,Sunny,Commercial,Arson,Low,0,11,10
14/03/2024,21:22,Thursday,V-A,14.06045908,121.3258573,Rainy,Residential,Electrical,Medium,1,9,10
07/03/2022,15:43,Monday,Santa Elena,14.07521139,121.313323,Sunny,Residential,Cooking,Low,0,12,14
15/01/2021,20:40,Friday,V-B,14.06362084,121.3139452,Sunny,Forest,Natural,Medium,0,10,29
12/12/2024,2:36,Thursday,I-C (Bagong Bayan),14.07144956,121.31778,Sunny,Commercial,Other,High,8,8,409
30/09/2024,19:17,Monday,San Miguel (Balintin),14.07482697,121.3187109,Cloudy,Commercial,Electrical,Low,0,11,54
02/09/2024,17:18,Monday,Santisimo Rosario (Balagbag),14.07119427,121.3257923,Rainy,Industrial,Cooking,Low,0,8,10
27/07/2022,15:13,Wednesday,Santo Niño (Arsum),14.07371511,121.3273371,Sunny,Residential,Arson,High,9,8,18
26/12/2024,7:41,Thursday,V-D,14.0648516,121.3239581,Cloudy,Residential,Natural,Medium,2,10,12
17/01/2021,12:14,Sunday,San Rafael (Buluburan),14.07520977,121.3173813,Sunny,Industrial,Electrical,Medium,1,9,33
24/10/2024,11:57,Thursday,Santiago II (Bulaho),14.06978659,121.3226917,Rainy,Residential,Electrical,Medium,5,16,10
29/10/2023,17:21,Sunday,V-B,14.06859668,121.321987,Rainy,Industrial,Arson,High,6,9,27
19/06/2024,12:24,Wednesday,San Vicente,14.06752042,121.3183785,Sunny,Forest,Other,High,0,9,67
07/12/2021,8:53,Tuesday,Santo Angel (Ilog),14.0723134,121.3168391,Sunny,Commercial,Natural,Low,0,11,10
25/04/2022,20:36,Monday,Santa Catalina (Sandig),14.064073,121.3200238,Sunny,Commercial,Cooking,Medium,4,9,10
08/06/2020,8:46,Monday,III-D (Vilongco),14.07369689,121.3207057,Cloudy,Residential,Cooking,Low,0,10,24
10/02/2021,17:58,Wednesday,San Vicente,14.06982215,121.3168606,Sunny,Residential,Other,Low,1,5,10
17/09/2022,11:22,Saturday,II-E (San Anton),14.07077303,121.3174965,Sunny,Forest,Arson,Low,1,9,10
12/11/2020,1:02,Thursday,San Mateo (Imok),14.07218074,121.3161251,Sunny,Residential,Other,Medium,3,7,97
16/08/2024,0:11,Friday,VI-D (Lparkers),14.06293748,121.3216173,Sunny,Residential,Cooking,Medium,1,9,10
21/04/2023,18:58,Friday,San Nicolas (Mag-ampong),14.06980977,121.3128424,Sunny,Commercial,Arson,Medium,1,14,21
06/08/2023,3:32,Sunday,San Marcos (Tikew),14.07446154,121.3119318,Stormy,Residential,Natural,Medium,3,12,10
12/09/2024,20:24,Thursday,San Miguel (Balintin),14.07311009,121.3216723,Rainy,Residential,Arson,High,6,7,238
05/03/2024,5:11,Tuesday,II-C (Unson),14.07064717,121.3185273,Stormy,Residential,Arson,Low,0,9,16
07/01/2024,15:29,Sunday,VII-B,14.06421259,121.3256711,Cloudy,Residential,Electrical,Low,1,8,29
24/06/2021,17:30,Thursday,Santa Cruz (Putol),14.07462943,121.3235438,Cloudy,Industrial,Other,Low,0,12,17
29/10/2023,0:57,Sunday,II-A (Triangulo Guadalupe 2),14.06550827,121.3172189,Sunny,Industrial,Arson,High,5,8,110
06/04/2021,2:02,Tuesday,VI-B,14.06252636,121.326512,Cloudy,Commercial,Electrical,Medium,3,10,54
22/07/2024,13:52,Monday,Santa Filomena (Banagin),14.07041971,121.3169962,Cloudy,Industrial,Electrical,Low,1,10,72
23/01/2023,11:54,Monday,Santa Maria Magdalena (Boe / Kuba),14.07196713,121.3199702,Sunny,Industrial,Arson,Low,1,5,12
07/09/2024,2:24,Saturday,III-A (Hermanos Belen),14.06667354,121.3235412,Cloudy,Residential,Cooking,Low,1,5,25
10/06/2021,3:31,Thursday,II-F (Villa Rey),14.07552524,121.3269362,Rainy,Industrial,Electrical,Medium,0,5,50
07/08/2024,10:51,Wednesday,Santo Angel (Ilog),14.07315582,121.3184897,Cloudy,Residential,Arson,Medium,6,11,11
12/07/2023,20:33,Wednesday,Santa Isabel,14.06698052,121.3188112,Cloudy,Residential,Natural,Medium,3,7,76
03/06/2022,16:02,Friday,Santo Niño (Arsum),14.06390888,121.3096466,Sunny,Industrial,Cooking,High,9,10,295
08/09/2023,5:58,Friday,VII-E,14.07326998,121.3169023,Sunny,Residential,Cooking,Low,1,14,10
28/01/2023,22:10,Saturday,Santiago 1 (Bulaho),14.06481502,121.3243893,Stormy,Residential,Natural,Medium,2,14,25
05/07/2024,20:08,Friday,Santa Maria,14.07153069,121.3157178,Rainy,Commercial,Electrical,Medium,0,12,10
11/12/2021,2:54,Saturday,Del Remedio (Wawa),14.07152559,121.3231024,Sunny,Industrial,Electrical,Low,1,7,27
13/04/2020,20:08,Monday,San Roque (Sambat),14.06732291,121.3073862,Sunny,Residential,Natural,Medium,2,10,22
07/08/2020,8:09,Friday,San Buenaventura (Palakpakin),14.07248747,121.3254272,Cloudy,Residential,Electrical,Medium,3,8,147
06/09/2022,20:37,Tuesday,San Mateo (Imok),14.08104341,121.3135541,Rainy,Forest,Arson,Low,1,13,47
23/12/2024,20:05,Monday,Santa Filomena (Banagin),14.06474693,121.3078664,Sunny,Commercial,Other,Low,0,7,52
20/06/2024,18:58,Thursday,II-E (San Anton),14.07656875,121.3189275,Sunny,Residential,Cooking,Low,1,7,24
16/01/2022,20:25,Sunday,Santa Catalina (Sandig),14.06890853,121.3261339,Rainy,Residential,Other,Low,0,6,10
17/04/2020,15:42,Friday,Santo Angel (Ilog),14.07021983,121.3181821,Sunny,Residential,Electrical,Low,0,11,66
13/11/2020,21:03,Friday,Atisan,14.06618283,121.3233554,Sunny,Residential,Electrical,Low,1,10,57
04/04/2020,2:27,Saturday,San Mateo (Imok),14.08198256,121.3185109,Rainy,Commercial,Arson,Low,1,7,10
28/09/2023,13:10,Thursday,Santiago II (Bulaho),14.07441911,121.3198529,Sunny,Residential,Other,Medium,0,11,129
21/01/2023,18:23,Saturday,II-C (Unson),14.07613749,121.3198256,Stormy,Residential,Electrical,Low,0,10,54
29/01/2022,11:31,Saturday,I-B (City+Riverside),14.06533139,121.3243712,Cloudy,Residential,Electrical,Low,0,11,12
25/01/2024,9:11,Thursday,Santo Niño (Arsum),14.06378499,121.3137081,Sunny,Commercial,Other,High,8,10,220
08/07/2020,12:52,Wednesday,Santa Veronica (Bae),14.06841183,121.3238124,Cloudy,Commercial,Electrical,Medium,2,8,88
09/06/2023,6:16,Friday,V-B,14.07719895,121.315679,Rainy,Residential,Other,High,5,5,53
19/08/2024,0:35,Monday,San Mateo (Imok),14.06940871,121.3157232,Cloudy,Forest,Arson,Low,0,7,53
10/03/2024,19:13,Sunday,Santo Niño (Arsum),14.07181782,121.3174682,Cloudy,Residential,Electrical,Medium,8,8,10
21/11/2023,7:07,Tuesday,San Nicolas (Mag-ampong),14.063116,121.314667,Rainy,Residential,Arson,Medium,7,9,99
04/11/2023,14:04,Saturday,I-B (City+Riverside),14.07796148,121.3074097,Cloudy,Commercial,Electrical,Medium,5,10,54
11/03/2020,8:11,Wednesday,VI-A (Mavenida),14.07122425,121.3162829,Sunny,Residential,Cooking,Medium,3,9,43
23/10/2021,14:09,Saturday,Santa Monica,14.06481908,121.3152947,Cloudy,Residential,Electrical,High,7,11,113
23/03/2020,10:08,Monday,San Lorenzo (Saluyan),14.07258959,121.3178168,Cloudy,Residential,Natural,Medium,3,15,18
14/02/2021,20:44,Sunday,San Marcos (Tikew),14.07271403,121.321373,Cloudy,Residential,Cooking,Low,0,9,10
24/05/2021,15:49,Monday,Concepcion (Bunot),14.06329597,121.3297576,Sunny,Commercial,Cooking,Low,2,5,10
31/08/2023,21:03,Thursday,I-B (City+Riverside),14.06273562,121.3245195,Rainy,Residential,Electrical,Medium,4,12,10
02/07/2021,23:56,Friday,San Jose (Malamig),14.07180544,121.3119392,Sunny,Residential,Arson,High,5,10,63
04/06/2022,12:47,Saturday,II-A (Triangulo Guadalupe 2),14.07451829,121.3238279,Cloudy,Residential,Cooking,Low,1,14,19
25/11/2021,18:50,Thursday,VII-A (P. Alcantara),14.06930468,121.3115303,Sunny,Residential,Natural,Low,1,7,15
12/05/2020,1:55,Tuesday,VI-D (Lparkers),14.07079287,121.3235954,Sunny,Industrial,Arson,Medium,1,6,58
11/07/2023,2:46,Tuesday,II-B (Guadalupe 1),14.07672407,121.3150096,Rainy,Forest,Natural,Medium,1,11,24
17/10/2022,22:53,Monday,San Lucas 2 (Malinaw),14.07796064,121.3209398,Rainy,Commercial,Electrical,High,7,12,51
23/08/2023,21:49,Wednesday,Santa Cruz (Putol),14.06858346,121.3167845,Cloudy,Residential,Electrical,Low,2,13,10
08/09/2020,20:06,Tuesday,III-E,14.06922531,121.3236142,Sunny,Residential,Electrical,High,8,8,155
14/10/2022,13:22,Friday,San Francisco (Calihan),14.07037684,121.3193906,Sunny,Industrial,Cooking,High,3,7,35
05/11/2022,7:15,Saturday,Santo Niño (Arsum),14.06847091,121.3129216,Sunny,Commercial,Natural,Medium,4,11,130
06/04/2020,19:54,Monday,Santo Angel (Ilog),14.07080074,121.3285509,Cloudy,Residential,Electrical,Medium,3,8,258
26/11/2022,19:12,Saturday,Bautista,14.07526874,121.3171572,Cloudy,Residential,Arson,Low,0,10,24
23/04/2023,16:19,Sunday,VII-B,14.07061804,121.3245589,Rainy,Residential,Natural,High,11,8,361
04/09/2021,21:41,Saturday,V-A,14.06598913,121.3170825,Sunny,Forest,Natural,High,1,5,138
