Date,Time,Day_of_Week,Barangay,Latitude,Longitude,Weather,Road_Condition,Vehicle_Type,Driver_Age,Driver_Gender,Accident_Type,Injuries,Fatalities
15/06/2021,9:24,Tuesday,II-F (Villa Rey),14.07406456,121.3260694,Sunny,Gravel,Motorcycle,21,Female,Pedestrian accident,1,0
24/09/2021,17:26,Friday,IV-C,14.05224753,121.3368376,Sunny,Dry,Motorcycle,21,Male,Side-impact collision,3,0
06/10/2024,11:57,Sunday,Santa Monica,14.06972807,121.3208679,Cloudy,Dry,Motorcycle,29,Male,Rear-end collision,1,0
25/07/2024,2:25,Thursday,San Nicolas (Mag-ampong),14.06021921,121.3098893,Rainy,Wet,Motorcycle,32,Male,Rear-end collision,2,1
15/09/2022,20:26,Thursday,Concepcion (Bunot),14.0515091,121.2992146,Sunny,Gravel,Motorcycle,28,Female,Pedestrian accident,1,1
13/10/2023,19:14,Friday,I-B (City+Riverside),14.0600072,121.3104627,Sunny,Dry,Tricycle,39,Female,Rear-end collision,0,0
24/04/2020,9:15,Friday,I-C (Bagong Bayan),14.07993532,121.3282299,Sunny,Potholes,Motorcycle,29,Male,Rear-end collision,2,0
22/06/2020,13:44,Monday,San Antonio 2 (Sapa),14.09037019,121.3390897,Sunny,Potholes,Motorcycle,49,Male,Single vehicle accident,1,0
22/12/2024,2:03,Sunday,III-D (Vilongco),14.0698428,121.319637,Rainy,Wet,Car,34,Male,Head-on collision,2,1
01/01/2020,3:22,Wednesday,VI-D (Lparkers),14.08902034,121.3409262,Sunny,Dry,Car,26,Female,Pedestrian accident,0,0
04/03/2023,17:57,Saturday,Dolores,14.06959987,121.3210909,Sunny,Potholes,Car,28,Male,Rear-end collision,0,0
01/10/2021,14:56,Friday,Atisan,14.091417,121.3372061,Rainy,Wet,Motorcycle,35,Female,Rear-end collision,0,0
23/10/2024,17:04,Wednesday,III-E,14.08785433,121.3404344,Sunny,Dry,Tricycle,36,Female,Head-on collision,0,1
26/01/2023,10:58,Thursday,San Juan (Putol),14.0711845,121.3216081,Rainy,Wet,Motorcycle,47,Male,Side-impact collision,2,0
06/04/2024,18:31,Saturday,Santa Filomena (Banagin),14.09989099,121.3452072,Sunny,Gravel,Car,30,Female,Rear-end collision,0,0
11/11/2021,22:12,Thursday,Santa Isabel,14.07068249,121.3199156,Cloudy,Dry,Car,42,Male,Single vehicle accident,0,0
28/04/2023,4:26,Friday,VI-E (YMCA),14.08082382,121.3395015,Cloudy,Gravel,Motorcycle,37,Male,Rear-end collision,1,0
27/08/2024,9:04,Tuesday,V-C,14.05143556,121.2995678,Sunny,Dry,Truck,20,Female,Side-impact collision,3,0
14/04/2022,18:21,Thursday,Santa Veronica (Bae),14.06036487,121.3101749,Cloudy,Dry,Motorcycle,52,Female,Single vehicle accident,1,1
27/11/2022,18:30,Sunday,Santa Isabel,14.08245206,121.304351,Sunny,Dry,Tricycle,40,Male,Side-impact collision,1,0
26/04/2022,11:54,Tuesday,San Gregorio,14.08598697,121.3177759,Rainy,Wet,Car,24,Male,Rear-end collision,1,1
03/05/2020,19:56,Sunday,Dolores,14.08163428,121.3301316,Rainy,Wet,Truck,55,Male,Side-impact collision,2,0
15/08/2024,6:53,Thursday,Soledad (Macopa),14.05142623,121.2989373,Stormy,Wet,Car,47,Male,Head-on collision,3,1
03/04/2020,5:44,Friday,San Antonio 2 (Sapa),14.08189964,121.3200864,Cloudy,Gravel,Motorcycle,18,Male,Rear-end collision,2,1
11/03/2021,0:52,Thursday,San Antonio 2 (Sapa),14.06905097,121.3201288,Rainy,Wet,Tricycle,28,Male,Rear-end collision,0,0
11/11/2021,23:03,Thursday,San Joaquin,14.08875953,121.3401311,Sunny,Dry,Motorcycle,32,Male,Side-impact collision,3,0
29/05/2024,18:30,Wednesday,V-C,14.05207485,121.3073655,Stormy,Wet,Motorcycle,29,Female,Head-on collision,3,2
19/08/2023,7:20,Saturday,Santa Ana,14.08976692,121.3382644,Sunny,Dry,Car,52,Male,Side-impact collision,4,0
30/03/2021,9:59,Tuesday,VI-A (Mavenida),14.09103585,121.339572,Sunny,Dry,Motorcycle,42,Female,Rear-end collision,0,0
16/06/2024,7:33,Sunday,San Buenaventura (Palakpakin),14.06893855,121.3361428,Rainy,Wet,Truck,39,Female,Head-on collision,2,0
04/05/2022,23:44,Wednesday,San Mateo (Imok),14.07973449,121.3297023,Sunny,Dry,Truck,39,Female,Single vehicle accident,0,0
15/02/2022,14:26,Tuesday,II-E (San Anton),14.07400502,121.312831,Cloudy,Potholes,Bicycle,35,Male,Side-impact collision,1,0
05/08/2024,8:02,Monday,II-C (Unson),14.08125267,121.3309795,Sunny,Dry,Motorcycle,33,Male,Pedestrian accident,3,0
16/07/2021,12:30,Friday,I-B (City+Riverside),14.06935226,121.3197865,Sunny,Dry,Motorcycle,42,Male,Rear-end collision,1,1
22/08/2021,19:28,Sunday,San Ignacio,14.05048807,121.3295749,Rainy,Potholes,Truck,31,Female,Head-on collision,4,2
22/07/2020,21:16,Wednesday,II-B (Guadalupe 1),14.06988021,121.320895,Cloudy,Dry,Car,39,Male,Head-on collision,2,1
14/05/2024,23:12,Tuesday,San Joaquin,14.09004542,121.3396924,Rainy,Gravel,Bus,30,Male,Head-on collision,5,0
30/01/2024,10:29,Tuesday,San Roque (Sambat),14.06021159,121.3119707,Rainy,Wet,Car,18,Male,Head-on collision,4,2
09/05/2022,22:23,Monday,San Crispin (Lumbangan),14.06919065,121.320527,Sunny,Dry,Truck,32,Female,Pedestrian accident,2,0
02/06/2022,10:22,Thursday,V-D,14.04986659,121.2983384,Cloudy,Dry,Motorcycle,52,Male,Head-on collision,6,1
01/12/2024,19:20,Sunday,San Francisco (Calihan),14.06904924,121.3225141,Sunny,Dry,Car,47,Male,Head-on collision,3,2
17/03/2020,6:41,Tuesday,V-C,14.07871111,121.3305442,Cloudy,Dry,Motorcycle,28,Male,Side-impact collision,2,1
10/06/2020,7:31,Wednesday,VII-B,14.05892678,121.3104353,Sunny,Dry,Motorcycle,47,Male,Head-on collision,2,0
01/10/2024,14:52,Tuesday,San Antonio 2 (Sapa),14.08049673,121.3296904,Sunny,Dry,Tricycle,50,Male,Rear-end collision,1,0
06/03/2020,1:21,Friday,V-C,14.06965702,121.3490007,Sunny,Dry,Car,20,Male,Head-on collision,2,0
22/06/2022,11:34,Wednesday,San Crispin (Lumbangan),14.05681904,121.3295609,Rainy,Gravel,Car,41,Male,Side-impact collision,5,0
10/11/2020,13:42,Tuesday,II-F (Villa Rey),14.09001801,121.3388062,Rainy,Potholes,Car,50,Male,Pedestrian accident,4,1
17/05/2023,19:15,Wednesday,I-C (Bagong Bayan),14.05076974,121.3034768,Rainy,Wet,Motorcycle,39,Male,Pedestrian accident,2,0
18/01/2021,20:20,Monday,San Isidro (Balagbag),14.09655904,121.3386363,Sunny,Dry,Car,20,Male,Head-on collision,2,1
02/10/2022,3:31,Sunday,V-B,14.0712477,121.3089884,Sunny,Dry,Car,21,Male,Rear-end collision,2,0
29/01/2023,12:00,Sunday,VII-B,14.06979319,121.3202792,Sunny,Dry,Truck,32,Female,Side-impact collision,1,0
14/02/2021,15:46,Sunday,San Joaquin,14.0797139,121.3427708,Cloudy,Dry,Motorcycle,42,Female,Head-on collision,2,0
06/08/2024,21:16,Tuesday,Santa Veronica (Bae),14.08030067,121.3295873,Sunny,Potholes,Tricycle,20,Female,Pedestrian accident,1,0
08/10/2024,5:44,Tuesday,San Diego (Tilim),14.06939411,121.3197946,Rainy,Potholes,Car,41,Male,Single vehicle accident,1,0
19/10/2023,14:49,Thursday,VI-C (Bagong Pook),14.04855138,121.2996799,Sunny,Dry,Car,38,Female,Head-on collision,2,0
12/02/2024,6:19,Monday,San Ignacio,14.04956699,121.3002187,Sunny,Dry,Motorcycle,53,Male,Single vehicle accident,1,0
10/07/2020,8:56,Friday,San Francisco (Calihan),14.06828187,121.3224083,Rainy,Wet,Car,41,Male,Head-on collision,1,1
27/03/2023,10:08,Monday,San Crispin (Lumbangan),14.05945513,121.3473538,Rainy,Wet,Motorcycle,32,Male,Side-impact collision,1,0
05/05/2023,13:55,Friday,Santa Maria,14.05031645,121.3018853,Rainy,Wet,Car,25,Male,Rear-end collision,2,0
21/06/2021,10:54,Monday,Santiago II (Bulaho),14.07863724,121.3305786,Cloudy,Dry,Tricycle,35,Male,Side-impact collision,1,0
08/06/2024,18:21,Saturday,San Bartolome (Matang-ag),14.07464802,121.3312835,Sunny,Dry,Car,34,Male,Single vehicle accident,1,0
21/05/2024,19:35,Tuesday,I-B (City+Riverside),14.07943629,121.3288384,Rainy,Wet,Motorcycle,38,Male,Single vehicle accident,0,0
21/09/2021,22:02,Tuesday,San Mateo (Imok),14.09025024,121.340633,Sunny,Dry,Motorcycle,42,Male,Rear-end collision,3,0
05/12/2022,4:08,Monday,V-B,14.08886836,121.3394703,Rainy,Wet,Motorcycle,31,Female,Rear-end collision,2,0
26/04/2020,3:18,Sunday,San Lucas 1 (Sabang),14.06569947,121.3303448,Cloudy,Dry,Motorcycle,35,Male,Side-impact collision,2,0
28/11/2022,22:35,Monday,San Nicolas (Mag-ampong),14.09066342,121.3394569,Rainy,Wet,Truck,46,Male,Single vehicle accident,1,1
15/04/2024,10:15,Monday,Santisimo Rosario (Balagbag),14.09694664,121.3015373,Sunny,Dry,Bus,42,Male,Side-impact collision,2,0
18/03/2024,3:02,Monday,VI-D (Lparkers),14.08477908,121.3491505,Cloudy,Dry,Truck,36,Male,Single vehicle accident,1,0
10/03/2021,2:51,Wednesday,V-C,14.08384418,121.3450657,Sunny,Gravel,Motorcycle,30,Male,Rear-end collision,0,0
19/03/2024,23:57,Tuesday,San Rafael (Buluburan),14.05960049,121.3091532,Sunny,Dry,Motorcycle,19,Male,Single vehicle accident,2,0
12/09/2022,6:30,Monday,San Buenaventura (Palakpakin),14.05092385,121.3003353,Cloudy,Dry,Car,40,Male,Rear-end collision,1,0
13/06/2020,8:14,Saturday,III-D (Vilongco),14.0902437,121.3389516,Rainy,Wet,Car,35,Female,Head-on collision,2,0
30/05/2024,3:43,Thursday,San Gabriel (Butucan),14.0505562,121.2998137,Sunny,Potholes,Motorcycle,49,Male,Rear-end collision,0,1
07/12/2022,17:37,Wednesday,San Pedro,14.06031249,121.310225,Rainy,Potholes,Truck,38,Female,Side-impact collision,1,0
17/01/2022,9:16,Monday,V-C,14.05035981,121.2990588,Sunny,Dry,Car,33,Male,Head-on collision,3,1
30/10/2020,9:54,Friday,San Cristobal,14.08799062,121.3398232,Rainy,Wet,Bus,18,Male,Rear-end collision,2,0
25/01/2024,7:17,Thursday,San Jose (Malamig),14.09026216,121.3417841,Sunny,Dry,Truck,37,Female,Single vehicle accident,1,0
16/07/2020,9:25,Thursday,II-D (Bulante),14.09006955,121.3396488,Cloudy,Dry,Bus,18,Male,Single vehicle accident,4,1
16/10/2024,16:39,Wednesday,V-B,14.06079353,121.3080805,Sunny,Potholes,Motorcycle,38,Female,Rear-end collision,0,0
30/05/2020,16:10,Saturday,II-C (Unson),14.05911773,121.3105242,Sunny,Dry,Car,46,Male,Rear-end collision,0,0
20/10/2020,10:14,Tuesday,IV-B,14.06110802,121.3156329,Sunny,Potholes,Car,39,Male,Head-on collision,5,0
23/08/2022,5:45,Tuesday,San Ignacio,14.05974239,121.3100448,Sunny,Potholes,Car,44,Male,Pedestrian accident,1,0
06/10/2022,1:16,Thursday,Santo Angel (Ilog),14.08883572,121.3391449,Cloudy,Gravel,Tricycle,42,Female,Head-on collision,1,0
21/01/2022,0:58,Friday,San Cristobal,14.08982779,121.3386443,Rainy,Wet,Bus,35,Male,Single vehicle accident,1,0
10/09/2021,3:30,Friday,I-A (Sambat),14.05946593,121.3091114,Sunny,Potholes,Car,18,Male,Side-impact collision,4,0
05/06/2024,7:40,Wednesday,Santa Maria Magdalena (Boe / Kuba),14.04827065,121.2992763,Cloudy,Dry,Motorcycle,34,Male,Pedestrian accident,0,0
31/08/2022,7:13,Wednesday,II-F (Villa Rey),14.09095582,121.3459285,Sunny,Gravel,Car,47,Male,Head-on collision,4,1
29/03/2024,5:05,Friday,III-A (Hermanos Belen),14.06037075,121.3093341,Sunny,Dry,Tricycle,53,Male,Head-on collision,3,0
15/12/2022,9:03,Thursday,San Ignacio,14.07939758,121.3294792,Sunny,Dry,Truck,44,Female,Rear-end collision,0,0
08/11/2020,10:44,Sunday,San Jose (Malamig),14.06186501,121.3366086,Sunny,Dry,Car,35,Male,Head-on collision,3,0
22/06/2020,7:53,Monday,Dolores,14.0538372,121.3061229,Sunny,Dry,Car,21,Male,Head-on collision,3,0
29/09/2022,10:51,Thursday,San Roque (Sambat),14.08009438,121.3288123,Sunny,Dry,Truck,32,Female,Pedestrian accident,0,0
10/07/2021,7:14,Saturday,I-A (Sambat),14.05501464,121.3053191,Sunny,Dry,Car,37,Male,Rear-end collision,1,0
03/09/2024,18:19,Tuesday,VI-B,14.07116145,121.3060269,Cloudy,Dry,Car,23,Male,Pedestrian accident,2,0
26/02/2020,14:06,Wednesday,San Crispin (Lumbangan),14.06996852,121.3199512,Sunny,Potholes,Car,41,Male,Rear-end collision,2,0
11/02/2022,0:51,Friday,San Pedro,14.09089654,121.3387014,Sunny,Dry,Tricycle,38,Female,Head-on collision,1,0
27/11/2021,17:23,Saturday,Santisimo Rosario (Balagbag),14.06889377,121.3219121,Rainy,Wet,Car,26,Female,Rear-end collision,1,0
10/08/2022,17:39,Wednesday,Soledad (Macopa),14.09220176,121.3308281,Rainy,Potholes,Motorcycle,41,Male,Rear-end collision,0,0
18/01/2023,10:01,Wednesday,III-C (Labak/De Roma),14.07851271,121.3306931,Sunny,Potholes,Car,30,Female,Rear-end collision,0,0
30/11/2021,18:53,Tuesday,Soledad (Macopa),14.07190245,121.3196641,Sunny,Dry,Motorcycle,18,Male,Rear-end collision,1,0
07/02/2022,6:05,Monday,II-B (Guadalupe 1),14.08038146,121.3296487,Sunny,Dry,Car,37,Male,Pedestrian accident,3,1
29/04/2023,11:19,Saturday,San Isidro (Balagbag),14.07837425,121.3285938,Sunny,Dry,Motorcycle,33,Male,Head-on collision,5,1
19/04/2021,4:01,Monday,San Francisco (Calihan),14.04844726,121.3014717,Cloudy,Dry,Bicycle,34,Male,Head-on collision,9,2
14/01/2022,7:01,Friday,San Rafael (Buluburan),14.09012599,121.3388504,Sunny,Dry,Motorcycle,31,Female,Rear-end collision,1,0
23/12/2020,18:12,Wednesday,I-C (Bagong Bayan),14.08994734,121.338979,Rainy,Wet,Motorcycle,28,Male,Side-impact collision,1,0
28/04/2023,9:50,Friday,I-B (City+Riverside),14.06960698,121.3223159,Sunny,Dry,Truck,41,Female,Side-impact collision,0,0
04/01/2022,19:47,Tuesday,Santa Maria,14.05901772,121.3096654,Cloudy,Dry,Bicycle,41,Male,Rear-end collision,2,0
22/05/2022,14:54,Sunday,V-A,14.05448821,121.3318956,Rainy,Wet,Motorcycle,46,Female,Rear-end collision,1,0
08/09/2024,9:12,Sunday,II-B (Guadalupe 1),14.08827465,121.3174876,Sunny,Dry,Bus,49,Male,Single vehicle accident,0,0
16/04/2021,23:26,Friday,V-C,14.04869889,121.3002185,Cloudy,Dry,Bicycle,33,Male,Rear-end collision,2,1
18/04/2023,19:29,Tuesday,III-B,14.06970847,121.3220628,Rainy,Wet,Motorcycle,28,Female,Single vehicle accident,1,0
02/01/2023,11:41,Monday,San Isidro (Balagbag),14.0685805,121.3207143,Rainy,Wet,Motorcycle,19,Male,Single vehicle accident,0,0
06/10/2020,16:37,Tuesday,San Crispin (Lumbangan),14.07073585,121.3201868,Sunny,Potholes,Truck,29,Male,Rear-end collision,2,0
18/04/2022,19:12,Monday,II-F (Villa Rey),14.08889967,121.3415558,Rainy,Gravel,Bicycle,38,Male,Rear-end collision,1,0
27/01/2024,9:27,Saturday,I-B (City+Riverside),14.06981185,121.3195375,Rainy,Potholes,Truck,44,Male,Rear-end collision,0,0
25/09/2023,13:32,Monday,VII-E,14.05761602,121.3309384,Sunny,Dry,Truck,56,Male,Rear-end collision,0,0
04/03/2024,11:14,Monday,Santo Angel (Ilog),14.05161037,121.2990977,Sunny,Dry,Bicycle,25,Male,Pedestrian accident,1,0
12/09/2022,4:49,Monday,VII-E,14.06985904,121.3207639,Sunny,Dry,Car,38,Female,Pedestrian accident,1,1
22/12/2020,7:23,Tuesday,I-C (Bagong Bayan),14.08888054,121.3398312,Sunny,Dry,Motorcycle,30,Male,Pedestrian accident,0,0
04/12/2022,11:10,Sunday,San Diego (Tilim),14.05052887,121.3005638,Cloudy,Dry,Motorcycle,39,Male,Head-on collision,3,0
20/02/2023,4:56,Monday,San Pedro,14.09559312,121.3100903,Sunny,Potholes,Motorcycle,37,Female,Side-impact collision,0,0
10/10/2021,13:53,Sunday,San Lucas 1 (Sabang),14.09109521,121.3409252,Rainy,Wet,Car,43,Female,Rear-end collision,1,0
12/03/2020,16:27,Thursday,San Isidro (Balagbag),14.06339577,121.337402,Sunny,Dry,Motorcycle,21,Male,Single vehicle accident,0,0
16/02/2020,8:29,Sunday,IV-B,14.07945803,121.33128,Rainy,Wet,Motorcycle,59,Male,Rear-end collision,1,0
29/08/2024,9:01,Thursday,IV-B,14.09051378,121.3476549,Rainy,Wet,Motorcycle,21,Male,Head-on collision,5,0
05/09/2024,19:31,Thursday,Dolores,14.05933973,121.3093454,Rainy,Wet,Car,33,Male,Rear-end collision,1,0
27/09/2020,8:29,Sunday,III-C (Labak/De Roma),14.07027053,121.3195559,Rainy,Wet,Motorcycle,34,Female,Head-on collision,4,2
25/07/2022,4:07,Monday,VI-A (Mavenida),14.04856695,121.2995578,Sunny,Potholes,Bus,18,Male,Pedestrian accident,2,0
15/04/2023,8:12,Saturday,IV-B,14.07997892,121.3317543,Rainy,Wet,Motorcycle,43,Male,Single vehicle accident,0,0
30/05/2023,4:26,Tuesday,Santa Monica,14.090443,121.3421706,Sunny,Dry,Motorcycle,54,Female,Side-impact collision,2,0
05/05/2021,18:40,Wednesday,San Antonio 1 (Balanga),14.07131428,121.3207472,Sunny,Dry,Motorcycle,46,Male,Side-impact collision,1,1
26/08/2021,15:52,Thursday,San Miguel (Balintin),14.09099045,121.3410504,Rainy,Wet,Motorcycle,27,Female,Side-impact collision,2,0
13/09/2020,19:02,Sunday,II-C (Unson),14.0604914,121.3113926,Rainy,Wet,Truck,48,Male,Pedestrian accident,2,0
25/05/2021,16:30,Tuesday,I-C (Bagong Bayan),14.04843125,121.2993695,Rainy,Wet,Car,44,Male,Rear-end collision,0,1
20/08/2020,4:12,Thursday,San Nicolas (Mag-ampong),14.09716843,121.3274167,Stormy,Wet,Car,35,Female,Side-impact collision,0,1
19/02/2022,19:26,Saturday,Santa Maria,14.0610792,121.3101042,Rainy,Wet,Motorcycle,39,Female,Pedestrian accident,4,0
11/12/2023,18:53,Monday,Santo Cristo,14.05592034,121.3328203,Sunny,Dry,Motorcycle,45,Female,Side-impact collision,3,0
19/07/2023,0:44,Wednesday,V-B,14.07003201,121.3184717,Rainy,Wet,Car,38,Male,Head-on collision,1,3
07/05/2021,22:51,Friday,Santo Angel (Ilog),14.06262852,121.3245231,Sunny,Potholes,Car,40,Female,Head-on collision,1,0
23/03/2021,3:13,Tuesday,San Lucas 1 (Sabang),14.05560314,121.3469619,Rainy,Wet,Motorcycle,33,Male,Side-impact collision,3,1
30/06/2022,21:21,Thursday,VII-B,14.08987865,121.3404987,Rainy,Wet,Car,47,Male,Head-on collision,1,0
09/07/2022,22:54,Saturday,I-B (City+Riverside),14.07997414,121.329826,Sunny,Dry,Tricycle,33,Male,Single vehicle accident,2,0
12/07/2024,12:09,Friday,III-F (Balagtas),14.05844918,121.3109076,Cloudy,Potholes,Motorcycle,18,Male,Pedestrian accident,1,2
16/07/2023,11:22,Sunday,Santa Maria,14.09366497,121.3061755,Rainy,Gravel,Truck,21,Male,Rear-end collision,1,1
15/01/2022,8:45,Saturday,IV-B,14.06556106,121.3220422,Sunny,Dry,Tricycle,31,Female,Rear-end collision,1,0
07/05/2021,7:18,Friday,I-A (Sambat),14.07106415,121.320065,Sunny,Dry,Car,46,Female,Pedestrian accident,1,0
08/05/2020,17:45,Friday,San Lucas 1 (Sabang),14.08110534,121.3295853,Sunny,Dry,Car,39,Male,Head-on collision,6,1
01/02/2020,2:56,Saturday,San Ignacio,14.07861424,121.3298186,Cloudy,Dry,Truck,33,Male,Pedestrian accident,0,0
09/08/2023,18:47,Wednesday,VI-B,14.06061686,121.3100294,Sunny,Dry,Motorcycle,38,Male,Rear-end collision,1,0
05/03/2022,19:41,Saturday,VI-E (YMCA),14.08063202,121.3310718,Sunny,Dry,Bicycle,38,Female,Single vehicle accident,1,0
25/06/2022,4:22,Saturday,V-D,14.09672236,121.3433195,Sunny,Dry,Motorcycle,53,Female,Single vehicle accident,0,1
26/06/2024,13:36,Wednesday,IV-C,14.09125106,121.3393475,Sunny,Potholes,Tricycle,34,Male,Rear-end collision,4,0
09/08/2020,4:03,Sunday,III-B,14.05893373,121.3116248,Stormy,Wet,Truck,41,Female,Single vehicle accident,1,1
26/10/2023,15:36,Thursday,Santo Angel (Ilog),14.08968427,121.3406866,Sunny,Dry,Motorcycle,33,Female,Pedestrian accident,0,0
02/12/2021,10:55,Thursday,Santa Catalina (Sandig),14.07072338,121.3182137,Cloudy,Dry,Motorcycle,29,Male,Rear-end collision,3,1
06/09/2022,9:36,Tuesday,San Lucas 1 (Sabang),14.04844304,121.2986922,Rainy,Wet,Motorcycle,24,Male,Rear-end collision,1,0
29/03/2024,7:50,Friday,III-D (Vilongco),14.06059254,121.309406,Cloudy,Dry,Motorcycle,38,Male,Pedestrian accident,0,0
12/03/2024,17:55,Tuesday,II-E (San Anton),14.07218383,121.3208452,Stormy,Gravel,Motorcycle,47,Female,Pedestrian accident,6,0
06/10/2022,2:20,Thursday,V-C,14.07217849,121.3171562,Sunny,Potholes,Bus,45,Male,Rear-end collision,0,0
09/07/2024,22:49,Tuesday,Santiago 1 (Bulaho),14.05952998,121.3104132,Sunny,Dry,Motorcycle,30,Male,Rear-end collision,1,1
14/09/2020,0:03,Monday,Santa Monica,14.04988272,121.2994216,Sunny,Dry,Car,40,Male,Rear-end collision,4,0
19/03/2021,16:01,Friday,Santiago 1 (Bulaho),14.04938691,121.2995462,Cloudy,Dry,Motorcycle,42,Male,Side-impact collision,0,0
22/08/2020,23:33,Saturday,San Jose (Malamig),14.07408865,121.3270513,Sunny,Dry,Car,47,Male,Single vehicle accident,2,1
17/10/2023,9:31,Tuesday,II-D (Bulante),14.06060299,121.3096413,Rainy,Wet,Tricycle,31,Male,Side-impact collision,2,0
24/12/2020,1:18,Thursday,I-C (Bagong Bayan),14.04928646,121.299733,Rainy,Wet,Car,34,Male,Pedestrian accident,1,0
08/04/2024,17:35,Monday,Santa Elena,14.06496394,121.3053799,Sunny,Dry,Truck,47,Male,Head-on collision,4,0
26/05/2024,23:22,Sunday,Santa Isabel,14.08023847,121.3251295,Sunny,Dry,Truck,31,Male,Pedestrian accident,0,0
30/07/2023,7:21,Sunday,San Lucas 2 (Malinaw),14.08017528,121.3303483,Sunny,Dry,Car,22,Male,Side-impact collision,1,0
06/02/2020,10:31,Thursday,San Buenaventura (Palakpakin),14.05862892,121.3337839,Sunny,Dry,Tricycle,46,Female,Pedestrian accident,3,1
20/07/2021,9:09,Tuesday,III-A (Hermanos Belen),14.06896441,121.3200994,Sunny,Gravel,Truck,48,Male,Single vehicle accident,0,0
14/03/2020,14:58,Saturday,Santiago II (Bulaho),14.06946789,121.3294184,Stormy,Gravel,Tricycle,28,Male,Side-impact collision,5,0
14/12/2021,20:27,Tuesday,III-B,14.07998645,121.3310252,Sunny,Dry,Car,37,Male,Pedestrian accident,4,0
29/04/2022,4:03,Friday,III-D (Vilongco),14.050293,121.2999748,Rainy,Wet,Motorcycle,33,Male,Head-on collision,4,0
10/05/2020,14:00,Sunday,San Nicolas (Mag-ampong),14.06043723,121.3090475,Rainy,Wet,Car,48,Male,Pedestrian accident,2,0
09/08/2020,22:02,Sunday,Santa Catalina (Sandig),14.06051765,121.3086203,Rainy,Wet,Car,30,Male,Head-on collision,3,1
01/10/2021,9:35,Friday,San Antonio 2 (Sapa),14.08917447,121.3399393,Sunny,Dry,Tricycle,34,Male,Pedestrian accident,2,1
18/09/2024,23:33,Wednesday,II-D (Bulante),14.09999018,121.3415534,Sunny,Potholes,Truck,43,Male,Single vehicle accident,1,1
25/06/2022,14:41,Saturday,Dolores,14.05985932,121.3296742,Rainy,Wet,Motorcycle,25,Male,Single vehicle accident,2,0
01/06/2021,18:08,Tuesday,Santa Monica,14.05126905,121.2993028,Sunny,Dry,Motorcycle,41,Male,Rear-end collision,0,0
14/08/2022,11:26,Sunday,Santa Ana,14.06126345,121.308195,Sunny,Dry,Car,49,Male,Side-impact collision,0,0
31/08/2020,22:06,Monday,San Gregorio,14.07701444,121.3194254,Rainy,Wet,Bus,31,Male,Single vehicle accident,0,0
